<m>4c.prep.prs.p2.m.pl</m>	preposition, pronominal suffix, second person, masculine, plural
<m>4c.prep.prs.p2.m.sg</m>	preposition, pronominal suffix, second person, masculine, singular
<m>4c.prep.prs.p3.f.pl</m>	preposition, pronominal suffix, third person, feminine, plural
<m>4c.prep.prs.p3.f.sg</m>	preposition, pronominal suffix, third person, feminine, singular
<m>4c.prep.prs.p3.m.pl</m>	preposition, pronominal suffix, third person, masculine, plural
<m>4c.prep.prs.p3.m.sg</m>	preposition, pronominal suffix, third person, masculine, singular
<m>4c.prep.u.sg.a.prs.p1.u.pl</m>	preposition, unknown, singular, absolute, pronominal suffix, first person, unknown, plural
<m>4c.prep.u.sg.a.prs.p1.u.sg</m>	preposition, unknown, singular, absolute, pronominal suffix, first person, unknown, singular
<m>4c.prep.u.sg.a.prs.p2.f.sg</m>	preposition, unknown, singular, absolute, pronominal suffix, second person, feminine, singular
<m>4c.prep.u.sg.a.prs.p2.m.pl</m>	preposition, unknown, singular, absolute, pronominal suffix, second person, masculine, plural
<m>4c.prep.u.sg.a.prs.p2.m.sg</m>	preposition, unknown, singular, absolute, pronominal suffix, second person, masculine, singular
<m>4c.prep.u.sg.a.prs.p3.f.sg</m>	preposition, unknown, singular, absolute, pronominal suffix, third person, feminine, singular
<m>4c.prep.u.sg.a.prs.p3.m.pl</m>	preposition, unknown, singular, absolute, pronominal suffix, third person, masculine, plural
<m>4c.prep.u.sg.a.prs.p3.m.sg</m>	preposition, unknown, singular, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.f.du.a.prs.p1.u.pl</m>	noun, feminine, dual, absolute, pronominal suffix, first person, unknown, plural
<m>4c.subs.f.du.a.prs.p1.u.sg</m>	noun, feminine, dual, absolute, pronominal suffix, first person, unknown, singular
<m>4c.subs.f.du.a.prs.p2.f.sg</m>	noun, feminine, dual, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.f.du.a.prs.p2.m.pl</m>	noun, feminine, dual, absolute, pronominal suffix, second person, masculine, plural
<m>4c.subs.f.du.a.prs.p2.m.sg</m>	noun, feminine, dual, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.f.du.a.prs.p3.f.pl</m>	noun, feminine, dual, absolute, pronominal suffix, third person, feminine, plural
<m>4c.subs.f.du.a.prs.p3.f.sg</m>	noun, feminine, dual, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.f.du.a.prs.p3.m.pl</m>	noun, feminine, dual, absolute, pronominal suffix, third person, masculine, plural
<m>4c.subs.f.du.a.prs.p3.m.sg</m>	noun, feminine, dual, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.f.pl.a.prs.p1.u.pl</m>	noun, feminine, plural, absolute, pronominal suffix, first person, unknown, plural
<m>4c.subs.f.pl.a.prs.p1.u.sg</m>	noun, feminine, plural, absolute, pronominal suffix, first person, unknown, singular
<m>4c.subs.f.pl.a.prs.p2.f.pl</m>	noun, feminine, plural, absolute, pronominal suffix, second person, feminine, plural
<m>4c.subs.f.pl.a.prs.p2.f.sg</m>	noun, feminine, plural, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.f.pl.a.prs.p2.m.pl</m>	noun, feminine, plural, absolute, pronominal suffix, second person, masculine, plural
<m>4c.subs.f.pl.a.prs.p2.m.sg</m>	noun, feminine, plural, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.f.pl.a.prs.p3.f.pl</m>	noun, feminine, plural, absolute, pronominal suffix, third person, feminine, plural
<m>4c.subs.f.pl.a.prs.p3.f.sg</m>	noun, feminine, plural, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.f.pl.a.prs.p3.m.pl</m>	noun, feminine, plural, absolute, pronominal suffix, third person, masculine, plural
<m>4c.subs.f.pl.a.prs.p3.m.sg</m>	noun, feminine, plural, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.f.sg.a.prs.p1.u.pl</m>	noun, feminine, singular, absolute, pronominal suffix, first person, unknown, plural
<m>4c.subs.f.sg.a.prs.p1.u.sg</m>	noun, feminine, singular, absolute, pronominal suffix, first person, unknown, singular
<m>4c.subs.f.sg.a.prs.p2.f.pl</m>	noun, feminine, singular, absolute, pronominal suffix, second person, feminine, plural
<m>4c.subs.f.sg.a.prs.p2.f.sg</m>	noun, feminine, singular, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.f.sg.a.prs.p2.m.pl</m>	noun, feminine, singular, absolute, pronominal suffix, second person, masculine, plural
<m>4c.subs.f.sg.a.prs.p2.m.sg</m>	noun, feminine, singular, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.f.sg.a.prs.p3.f.pl</m>	noun, feminine, singular, absolute, pronominal suffix, third person, feminine, plural
<m>4c.subs.f.sg.a.prs.p3.f.sg</m>	noun, feminine, singular, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.f.sg.a.prs.p3.m.pl</m>	noun, feminine, singular, absolute, pronominal suffix, third person, masculine, plural
<m>4c.subs.f.sg.a.prs.p3.m.sg</m>	noun, feminine, singular, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.hif.infc.u.u.u.a.prs.p3.m.sg</m>	noun, hif‘il, infinitive (construct), unknown, unknown, unknown, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.hif.ptca.u.m.pl.a.prs.p2.f.sg</m>	noun, hif‘il, participle, unknown, masculine, plural, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.hif.ptca.u.m.pl.a.prs.p2.m.sg</m>	noun, hif‘il, participle, unknown, masculine, plural, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.hif.ptca.u.m.pl.a.prs.p3.f.sg</m>	noun, hif‘il, participle, unknown, masculine, plural, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.hif.ptca.u.m.pl.a.prs.p3.m.sg</m>	noun, hif‘il, participle, unknown, masculine, plural, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p1.u.sg</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, first person, unknown, singular
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p2.f.sg</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p2.m.pl</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, second person, masculine, plural
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p2.m.sg</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p3.f.sg</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p3.m.pl</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, third person, masculine, plural
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p3.m.sg</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, third person, masculine, singular
