<m>4c.adjv.qal.ptcp.u.f.pl.c</m>	adjective, qal, participle (passive), unknown, feminine, plural, construct
<m>4c.adjv.qal.ptcp.u.f.sg.a</m>	adjective, qal, participle (passive), unknown, feminine, singular, absolute
<m>4c.adjv.qal.ptcp.u.f.sg.c</m>	adjective, qal, participle (passive), unknown, feminine, singular, construct
<m>4c.adjv.qal.ptcp.u.m.pl.a</m>	adjective, qal, participle (passive), unknown, masculine, plural, absolute
<m>4c.adjv.qal.ptcp.u.m.pl.c</m>	adjective, qal, participle (passive), unknown, masculine, plural, construct
<m>4c.adjv.qal.ptcp.u.m.sg.a</m>	adjective, qal, participle (passive), unknown, masculine, singular, absolute
<m>4c.adjv.qal.ptcp.u.m.sg.c</m>	adjective, qal, participle (passive), unknown, masculine, singular, construct
<m>4c.advb.f.du.a</m>	adverb, feminine, dual, absolute
<m>4c.advb.f.pl.a.prs.p2.f.sg</m>	adverb, feminine, plural, absolute, pronominal suffix, second person, feminine, singular
<m>4c.advb.f.pl.a.prs.p2.m.pl</m>	adverb, feminine, plural, absolute, pronominal suffix, second person, masculine, plural
<m>4c.advb.f.pl.a.prs.p3.f.sg</m>	adverb, feminine, plural, absolute, pronominal suffix, third person, feminine, singular
<m>4c.advb.f.pl.a.prs.p3.m.sg</m>	adverb, feminine, plural, absolute, pronominal suffix, third person, masculine, singular
<m>4c.advb.f.pl.a</m>	adverb, feminine, plural, absolute
<m>4c.advb.f.sg.a</m>	adverb, feminine, singular, absolute
<m>4c.advb.f.sg.c</m>	adverb, feminine, singular, construct
<m>4c.advb.hif.infa.u.u.u.a</m>	adverb, hif‘il, infinitive (absolute), unknown, unknown, unknown, absolute
<m>4c.advb.hif.infc.u.u.u.a</m>	adverb, hif‘il, infinitive (construct), unknown, unknown, unknown, absolute
<m>4c.advb.hit.infa.u.u.u.a</m>	adverb, hitpa“el, infinitive (absolute), unknown, unknown, unknown, absolute
<m>4c.advb.hof.infa.u.u.u.a</m>	adverb, hof‘al, infinitive (absolute), unknown, unknown, unknown, absolute
<m>4c.advb.hof.ptcp.u.m.sg.a</m>	adverb, hof‘al, participle (passive), unknown, masculine, singular, absolute
<m>4c.advb.m.pl.a.prs.p1.u.pl</m>	adverb, masculine, plural, absolute, pronominal suffix, first person, unknown, plural
<m>4c.advb.m.pl.a.prs.p2.m.sg</m>	adverb, masculine, plural, absolute, pronominal suffix, second person, masculine, singular
<m>4c.advb.m.pl.a.prs.p3.m.sg</m>	adverb, masculine, plural, absolute, pronominal suffix, third person, masculine, singular
<m>4c.advb.m.pl.a</m>	adverb, masculine, plural, absolute
<m>4c.advb.m.sg.a.prs.p1.u.sg</m>	adverb, masculine, singular, absolute, pronominal suffix, first person, unknown, singular
<m>4c.advb.m.sg.a.prs.p2.f.sg</m>	adverb, masculine, singular, absolute, pronominal suffix, second person, feminine, singular
<m>4c.advb.m.sg.a.prs.p2.m.sg</m>	adverb, masculine, singular, absolute, pronominal suffix, second person, masculine, singular
<m>4c.advb.m.sg.a.prs.p3.f.sg</m>	adverb, masculine, singular, absolute, pronominal suffix, third person, feminine, singular
<m>4c.advb.m.sg.a.prs.p3.m.pl</m>	adverb, masculine, singular, absolute, pronominal suffix, third person, masculine, plural
<m>4c.advb.m.sg.a.prs.p3.m.sg</m>	adverb, masculine, singular, absolute, pronominal suffix, third person, masculine, singular
<m>4c.advb.m.sg.a</m>	adverb, masculine, singular, absolute
<m>4c.advb.m.sg</m>	adverb, masculine, singular
<m>4c.advb.nif.infa.u.u.u.a</m>	adverb, nif‘al, infinitive (absolute), unknown, unknown, unknown, absolute
<m>4c.advb.nif.infc.u.u.u.a</m>	adverb, nif‘al, infinitive (construct), unknown, unknown, unknown, absolute
<m>4c.advb.nif.ptca.u.f.pl.a</m>	adverb, nif‘al, participle, unknown, feminine, plural, absolute
<m>4c.advb.nif.ptca.u.f.sg.a</m>	adverb, nif‘al, participle, unknown, feminine, singular, absolute
<m>4c.advb.piel.infa.u.u.u.a</m>	adverb, pi“el, infinitive (absolute), unknown, unknown, unknown, absolute
<m>4c.advb.pual.infa.u.u.u.a</m>	adverb, pu“al, infinitive (absolute), unknown, unknown, unknown, absolute
<m>4c.advb.qal.infa.u.u.u.a</m>	adverb, qal, infinitive (absolute), unknown, unknown, unknown, absolute
<m>4c.advb.qal.infc.u.u.u.a</m>	adverb, qal, infinitive (construct), unknown, unknown, unknown, absolute
<m>4c.advb.qal.infc.u.u.u.c</m>	adverb, qal, infinitive (construct), unknown, unknown, unknown, construct
<m>4c.advb.u.sg.a</m>	adverb, unknown, singular, absolute
<m>4c.advb</m>	adverb
<m>4c.art</m>	article
<m>4c.conj.f.sg.c</m>	conjunction, feminine, singular, construct
<m>4c.conj.m.pl.c</m>	conjunction, masculine, plural, construct
<m>4c.conj.m.sg.c</m>	conjunction, masculine, singular, construct
<m>4c.conj.m.sg</m>	conjunction, masculine, singular
<m>4c.conj.u.pl</m>	conjunction, unknown, plural
<m>4c.conj.u.sg.c</m>	conjunction, unknown, singular, construct
<m>4c.conj</m>	conjunction
<m>4c.inrg.prs.p2.m.sg</m>	interrogative particle, pronominal suffix, second person, masculine, singular
<m>4c.inrg.prs.p3.m.pl</m>	interrogative particle, pronominal suffix, third person, masculine, plural
<m>4c.inrg.prs.p3.m.sg</m>	interrogative particle, pronominal suffix, third person, masculine, singular
<m>4c.inrg.u.u</m>	interrogative particle, unknown, unknown
<m>4c.inrg</m>	interrogative particle
<m>4c.intj.m.sg.a</m>	interjection, masculine, singular, absolute
<m>4c.intj.prs.p1.u.pl</m>	interjection, pronominal suffix, first person, unknown, plural
<m>4c.intj.prs.p1.u.sg</m>	interjection, pronominal suffix, first person, unknown, singular
<m>4c.intj.prs.p2.f.sg</m>	interjection, pronominal suffix, second person, feminine, singular
<m>4c.intj.prs.p2.m.pl</m>	interjection, pronominal suffix, second person, masculine, plural
<m>4c.intj.prs.p2.m.sg</m>	interjection, pronominal suffix, second person, masculine, singular
<m>4c.intj.prs.p3.m.pl</m>	interjection, pronominal suffix, third person, masculine, plural
<m>4c.intj.prs.p3.m.sg</m>	interjection, pronominal suffix, third person, masculine, singular
<m>4c.intj</m>	interjection
<m>4c.nega.m.sg.a.prs.p1.u.pl</m>	negative particle, masculine, singular, absolute, pronominal suffix, first person, unknown, plural
<m>4c.nega.m.sg.a.prs.p1.u.sg</m>	negative particle, masculine, singular, absolute, pronominal suffix, first person, unknown, singular
<m>4c.nega.m.sg.a.prs.p2.f.sg</m>	negative particle, masculine, singular, absolute, pronominal suffix, second person, feminine, singular
<m>4c.nega.m.sg.a.prs.p2.m.pl</m>	negative particle, masculine, singular, absolute, pronominal suffix, second person, masculine, plural
<m>4c.nega.m.sg.a.prs.p2.m.sg</m>	negative particle, masculine, singular, absolute, pronominal suffix, second person, masculine, singular
<m>4c.nega.m.sg.a.prs.p3.f.sg</m>	negative particle, masculine, singular, absolute, pronominal suffix, third person, feminine, singular
<m>4c.nega.m.sg.a.prs.p3.m.pl</m>	negative particle, masculine, singular, absolute, pronominal suffix, third person, masculine, plural
<m>4c.nega.m.sg.a.prs.p3.m.sg</m>	negative particle, masculine, singular, absolute, pronominal suffix, third person, masculine, singular
<m>4c.nega.m.sg.a</m>	negative particle, masculine, singular, absolute
<m>4c.nega.m.sg.c</m>	negative particle, masculine, singular, construct
<m>4c.nega.u.sg.c</m>	negative particle, unknown, singular, construct
<m>4c.nega</m>	negative particle
<m>4c.nmpr.f.sg.a</m>	proper noun, feminine, singular, absolute
<m>4c.nmpr.m.pl.a</m>	proper noun, masculine, plural, absolute
<m>4c.nmpr.m.sg.a</m>	proper noun, masculine, singular, absolute
<m>4c.nmpr.u.sg.a</m>	proper noun, unknown, singular, absolute
<m>4c.prde.f.sg</m>	demonstrative pronoun, feminine, singular
<m>4c.prde.m.sg</m>	demonstrative pronoun, masculine, singular
<m>4c.prde.p3.f.pl</m>	demonstrative pronoun, third person, feminine, plural
<m>4c.prde.p3.f.sg</m>	demonstrative pronoun, third person, feminine, singular
<m>4c.prde.p3.m.pl</m>	demonstrative pronoun, third person, masculine, plural
<m>4c.prde.p3.m.sg</m>	demonstrative pronoun, third person, masculine, singular
<m>4c.prde.u.pl</m>	demonstrative pronoun, unknown, plural
<m>4c.prde.u.sg</m>	demonstrative pronoun, unknown, singular
<m>4c.prep.f.sg.a.prs.p1.u.sg</m>	preposition, feminine, singular, absolute, pronominal suffix, first person, unknown, singular
<m>4c.prep.f.sg.a.prs.p2.m.sg</m>	preposition, feminine, singular, absolute, pronominal suffix, second person, masculine, singular
<m>4c.prep.f.sg.a.prs.p3.f.sg</m>	preposition, feminine, singular, absolute, pronominal suffix, third person, feminine, singular
<m>4c.prep.f.sg.c</m>	preposition, feminine, singular, construct
<m>4c.prep.m.pl.a.prs.p1.u.pl</m>	preposition, masculine, plural, absolute, pronominal suffix, first person, unknown, plural
<m>4c.prep.m.pl.a.prs.p2.f.sg</m>	preposition, masculine, plural, absolute, pronominal suffix, second person, feminine, singular
<m>4c.prep.m.pl.a.prs.p2.m.pl</m>	preposition, masculine, plural, absolute, pronominal suffix, second person, masculine, plural
<m>4c.prep.m.pl.a.prs.p2.m.sg</m>	preposition, masculine, plural, absolute, pronominal suffix, second person, masculine, singular
<m>4c.prep.m.pl.a.prs.p3.f.pl</m>	preposition, masculine, plural, absolute, pronominal suffix, third person, feminine, plural
<m>4c.prep.m.pl.a.prs.p3.f.sg</m>	preposition, masculine, plural, absolute, pronominal suffix, third person, feminine, singular
<m>4c.prep.m.pl.a.prs.p3.m.pl</m>	preposition, masculine, plural, absolute, pronominal suffix, third person, masculine, plural
<m>4c.prep.m.pl.a.prs.p3.m.sg</m>	preposition, masculine, plural, absolute, pronominal suffix, third person, masculine, singular
<m>4c.prep.m.pl.a</m>	preposition, masculine, plural, absolute
<m>4c.prep.m.pl.c</m>	preposition, masculine, plural, construct
<m>4c.prep.m.sg.a.prs.p1.u.pl</m>	preposition, masculine, singular, absolute, pronominal suffix, first person, unknown, plural
<m>4c.prep.m.sg.a.prs.p1.u.sg</m>	preposition, masculine, singular, absolute, pronominal suffix, first person, unknown, singular
<m>4c.prep.m.sg.a.prs.p2.f.sg</m>	preposition, masculine, singular, absolute, pronominal suffix, second person, feminine, singular
<m>4c.prep.m.sg.a.prs.p2.m.pl</m>	preposition, masculine, singular, absolute, pronominal suffix, second person, masculine, plural
<m>4c.prep.m.sg.a.prs.p2.m.sg</m>	preposition, masculine, singular, absolute, pronominal suffix, second person, masculine, singular
<m>4c.prep.m.sg.a.prs.p3.f.sg</m>	preposition, masculine, singular, absolute, pronominal suffix, third person, feminine, singular
<m>4c.prep.m.sg.a.prs.p3.m.pl</m>	preposition, masculine, singular, absolute, pronominal suffix, third person, masculine, plural
<m>4c.prep.m.sg.a.prs.p3.m.sg</m>	preposition, masculine, singular, absolute, pronominal suffix, third person, masculine, singular
<m>4c.prep.m.sg.a</m>	preposition, masculine, singular, absolute
<m>4c.prep.m.sg.c</m>	preposition, masculine, singular, construct
<m>4c.prep.prs.p1.u.pl</m>	preposition, pronominal suffix, first person, unknown, plural
<m>4c.prep.prs.p1.u.sg</m>	preposition, pronominal suffix, first person, unknown, singular
<m>4c.prep.prs.p2.f.pl</m>	preposition, pronominal suffix, second person, feminine, plural
<m>4c.prep.prs.p2.f.sg</m>	preposition, pronominal suffix, second person, feminine, singular
<m>4c.prep.prs.p2.m.pl</m>	preposition, pronominal suffix, second person, masculine, plural
<m>4c.prep.prs.p2.m.sg</m>	preposition, pronominal suffix, second person, masculine, singular
<m>4c.prep.prs.p3.f.pl</m>	preposition, pronominal suffix, third person, feminine, plural
<m>4c.prep.prs.p3.f.sg</m>	preposition, pronominal suffix, third person, feminine, singular
<m>4c.prep.prs.p3.m.pl</m>	preposition, pronominal suffix, third person, masculine, plural
<m>4c.prep.prs.p3.m.sg</m>	preposition, pronominal suffix, third person, masculine, singular
<m>4c.prep.u.sg.a.prs.p1.u.pl</m>	preposition, unknown, singular, absolute, pronominal suffix, first person, unknown, plural
<m>4c.prep.u.sg.a.prs.p1.u.sg</m>	preposition, unknown, singular, absolute, pronominal suffix, first person, unknown, singular
<m>4c.prep.u.sg.a.prs.p2.f.sg</m>	preposition, unknown, singular, absolute, pronominal suffix, second person, feminine, singular
<m>4c.prep.u.sg.a.prs.p2.m.pl</m>	preposition, unknown, singular, absolute, pronominal suffix, second person, masculine, plural
<m>4c.prep.u.sg.a.prs.p2.m.sg</m>	preposition, unknown, singular, absolute, pronominal suffix, second person, masculine, singular
<m>4c.prep.u.sg.a.prs.p3.f.sg</m>	preposition, unknown, singular, absolute, pronominal suffix, third person, feminine, singular
<m>4c.prep.u.sg.a.prs.p3.m.pl</m>	preposition, unknown, singular, absolute, pronominal suffix, third person, masculine, plural
<m>4c.prep.u.sg.a.prs.p3.m.sg</m>	preposition, unknown, singular, absolute, pronominal suffix, third person, masculine, singular
<m>4c.prep.u.sg.a</m>	preposition, unknown, singular, absolute
<m>4c.prep.u.sg.c</m>	preposition, unknown, singular, construct
<m>4c.prep</m>	preposition
<m>4c.prin.u.u</m>	interrogative pronoun, unknown, unknown
<m>4c.prps.p1.u.pl</m>	personal pronoun, first person, unknown, plural
<m>4c.prps.p1.u.sg</m>	personal pronoun, first person, unknown, singular
<m>4c.prps.p2.f.pl</m>	personal pronoun, second person, feminine, plural
<m>4c.prps.p2.f.sg</m>	personal pronoun, second person, feminine, singular
<m>4c.prps.p2.m.pl</m>	personal pronoun, second person, masculine, plural
<m>4c.prps.p2.m.sg</m>	personal pronoun, second person, masculine, singular
<m>4c.prps.p3.f.pl</m>	personal pronoun, third person, feminine, plural
<m>4c.prps.p3.f.sg</m>	personal pronoun, third person, feminine, singular
<m>4c.prps.p3.m.pl</m>	personal pronoun, third person, masculine, plural
<m>4c.prps.p3.m.sg</m>	personal pronoun, third person, masculine, singular
<m>4c.subs.f.du.a.prs.p1.u.pl</m>	noun, feminine, dual, absolute, pronominal suffix, first person, unknown, plural
<m>4c.subs.f.du.a.prs.p1.u.sg</m>	noun, feminine, dual, absolute, pronominal suffix, first person, unknown, singular
<m>4c.subs.f.du.a.prs.p2.f.sg</m>	noun, feminine, dual, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.f.du.a.prs.p2.m.pl</m>	noun, feminine, dual, absolute, pronominal suffix, second person, masculine, plural
<m>4c.subs.f.du.a.prs.p2.m.sg</m>	noun, feminine, dual, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.f.du.a.prs.p3.f.pl</m>	noun, feminine, dual, absolute, pronominal suffix, third person, feminine, plural
<m>4c.subs.f.du.a.prs.p3.f.sg</m>	noun, feminine, dual, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.f.du.a.prs.p3.m.pl</m>	noun, feminine, dual, absolute, pronominal suffix, third person, masculine, plural
<m>4c.subs.f.du.a.prs.p3.m.sg</m>	noun, feminine, dual, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.f.du.a</m>	noun, feminine, dual, absolute
<m>4c.subs.f.du.c</m>	noun, feminine, dual, construct
<m>4c.subs.f.du.e</m>	noun, feminine, dual, emphatic
<m>4c.subs.f.pl.a.prs.p1.u.pl</m>	noun, feminine, plural, absolute, pronominal suffix, first person, unknown, plural
<m>4c.subs.f.pl.a.prs.p1.u.sg</m>	noun, feminine, plural, absolute, pronominal suffix, first person, unknown, singular
<m>4c.subs.f.pl.a.prs.p2.f.pl</m>	noun, feminine, plural, absolute, pronominal suffix, second person, feminine, plural
<m>4c.subs.f.pl.a.prs.p2.f.sg</m>	noun, feminine, plural, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.f.pl.a.prs.p2.m.pl</m>	noun, feminine, plural, absolute, pronominal suffix, second person, masculine, plural
<m>4c.subs.f.pl.a.prs.p2.m.sg</m>	noun, feminine, plural, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.f.pl.a.prs.p3.f.pl</m>	noun, feminine, plural, absolute, pronominal suffix, third person, feminine, plural
<m>4c.subs.f.pl.a.prs.p3.f.sg</m>	noun, feminine, plural, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.f.pl.a.prs.p3.m.pl</m>	noun, feminine, plural, absolute, pronominal suffix, third person, masculine, plural
<m>4c.subs.f.pl.a.prs.p3.m.sg</m>	noun, feminine, plural, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.f.pl.a</m>	noun, feminine, plural, absolute
<m>4c.subs.f.pl.c</m>	noun, feminine, plural, construct
<m>4c.subs.f.pl.e</m>	noun, feminine, plural, emphatic
<m>4c.subs.f.sg.a.prs.p1.u.pl</m>	noun, feminine, singular, absolute, pronominal suffix, first person, unknown, plural
<m>4c.subs.f.sg.a.prs.p1.u.sg</m>	noun, feminine, singular, absolute, pronominal suffix, first person, unknown, singular
<m>4c.subs.f.sg.a.prs.p2.f.pl</m>	noun, feminine, singular, absolute, pronominal suffix, second person, feminine, plural
<m>4c.subs.f.sg.a.prs.p2.f.sg</m>	noun, feminine, singular, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.f.sg.a.prs.p2.m.pl</m>	noun, feminine, singular, absolute, pronominal suffix, second person, masculine, plural
<m>4c.subs.f.sg.a.prs.p2.m.sg</m>	noun, feminine, singular, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.f.sg.a.prs.p3.f.pl</m>	noun, feminine, singular, absolute, pronominal suffix, third person, feminine, plural
<m>4c.subs.f.sg.a.prs.p3.f.sg</m>	noun, feminine, singular, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.f.sg.a.prs.p3.m.pl</m>	noun, feminine, singular, absolute, pronominal suffix, third person, masculine, plural
<m>4c.subs.f.sg.a.prs.p3.m.sg</m>	noun, feminine, singular, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.f.sg.a</m>	noun, feminine, singular, absolute
<m>4c.subs.f.sg.c</m>	noun, feminine, singular, construct
<m>4c.subs.f.sg.e</m>	noun, feminine, singular, emphatic
<m>4c.subs.hif.infa.u.u.u.a</m>	noun, hif‘il, infinitive (absolute), unknown, unknown, unknown, absolute
<m>4c.subs.hif.infc.u.u.u.a.prs.p3.m.sg</m>	noun, hif‘il, infinitive (construct), unknown, unknown, unknown, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.hif.infc.u.u.u.a</m>	noun, hif‘il, infinitive (construct), unknown, unknown, unknown, absolute
<m>4c.subs.hif.infc.u.u.u.c</m>	noun, hif‘il, infinitive (construct), unknown, unknown, unknown, construct
<m>4c.subs.hif.ptca.u.f.sg.a</m>	noun, hif‘il, participle, unknown, feminine, singular, absolute
<m>4c.subs.hif.ptca.u.f.sg.c</m>	noun, hif‘il, participle, unknown, feminine, singular, construct
<m>4c.subs.hif.ptca.u.m.pl.a.prs.p2.f.sg</m>	noun, hif‘il, participle, unknown, masculine, plural, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.hif.ptca.u.m.pl.a.prs.p2.m.sg</m>	noun, hif‘il, participle, unknown, masculine, plural, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.hif.ptca.u.m.pl.a.prs.p3.f.sg</m>	noun, hif‘il, participle, unknown, masculine, plural, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.hif.ptca.u.m.pl.a.prs.p3.m.sg</m>	noun, hif‘il, participle, unknown, masculine, plural, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.hif.ptca.u.m.pl.a</m>	noun, hif‘il, participle, unknown, masculine, plural, absolute
<m>4c.subs.hif.ptca.u.m.pl.c</m>	noun, hif‘il, participle, unknown, masculine, plural, construct
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p1.u.sg</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, first person, unknown, singular
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p2.f.sg</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p2.m.pl</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, second person, masculine, plural
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p2.m.sg</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p3.f.sg</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p3.m.pl</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, third person, masculine, plural
<m>4c.subs.hif.ptca.u.m.sg.a.prs.p3.m.sg</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.hif.ptca.u.m.sg.a</m>	noun, hif‘il, participle, unknown, masculine, singular, absolute
<m>4c.subs.hif.ptca.u.m.sg.c</m>	noun, hif‘il, participle, unknown, masculine, singular, construct
<m>4c.subs.hit.ptca.u.m.pl.a.prs.p2.m.sg</m>	noun, hitpa“el, participle, unknown, masculine, plural, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.hit.ptca.u.m.pl.a</m>	noun, hitpa“el, participle, unknown, masculine, plural, absolute
<m>4c.subs.hit.ptca.u.m.sg.a.prs.p1.u.sg</m>	noun, hitpa“el, participle, unknown, masculine, singular, absolute, pronominal suffix, first person, unknown, singular
